"","id","sex","trans_group","trans_dist","homing_prop","homing_bin","dt","x_utm","y_utm","x_new","y_new","dist2home","dist2release","duration","time_norm"
"77","af17_10","female","200m",200.400781587323,0.0160135880275993,0,2017-02-08 14:23:00,313976.5,446667.8,-2.40562892913788,3.22380977341476,197.191646030575,4.02243707220755,22.6333333333333,38.3833333333333
"78","af17_10","female","200m",200.400781587323,0.0160135880275993,0,2017-02-08 14:55:00,313976.5,446667.8,-2.40562892913788,3.22380977341476,197.191646030575,4.02243707220755,23.1666666666667,38.9166666666667
"79","af17_10","female","200m",200.400781587323,0.0160135880275993,0,2017-02-08 15:27:00,313976.5,446667.8,-2.40562892913788,3.22380977341476,197.191646030575,4.02243707220755,23.7,39.45
"80","af17_10","female","200m",200.400781587323,0.0116862004522288,0,2017-02-08 16:22:00,313973.3,446667.1,-5.58128968531735,2.42057956870851,198.05885788291,6.0835844696921,24.6166666666667,40.3666666666667
"81","af17_10","female","200m",200.400781587323,0.01218428517131,0,2017-02-08 16:52:00,313973.3,446667.2,-5.58452709562327,2.52052715087784,197.95904131591,6.12698947282129,25.1166666666667,40.8666666666667
"82","af17_10","female","200m",200.400781587323,0.01218428517131,0,2017-02-08 17:55:00,313973.3,446667.2,-5.58452709562327,2.52052715087784,197.95904131591,6.12698947282129,26.1666666666667,41.9166666666667
"83","af17_10","female","200m",200.400781587323,0.01218428517131,0,2017-02-08 18:47:00,313973.3,446667.2,-5.58452709562327,2.52052715087784,197.95904131591,6.12698947282129,27.0333333333333,42.7833333333333
"84","af17_10","female","200m",200.400781587323,0.01218428517131,0,2017-02-09 06:30:00,313973.3,446667.2,-5.58452709562327,2.52052715087784,197.95904131591,6.12698947282129,38.75,54.5
"85","af17_10","female","200m",200.400781587323,-0.00041673459690128,0,2017-02-09 08:58:00,313971.3,446664.8,-7.50578089099617,0.0570369735325009,200.484295526256,7.50599760191762,41.2166666666667,56.9666666666667
"86","af17_10","female","200m",200.400781587323,-0.00041673459690128,0,2017-02-09 09:30:00,313971.3,446664.8,-7.50578089099617,0.0570369735325009,200.484295526256,7.50599760191762,41.75,57.5
"87","af17_10","female","200m",200.400781587323,-0.00041673459690128,0,2017-02-09 10:03:00,313971.3,446664.8,-7.50578089099617,0.0570369735325009,200.484295526256,7.50599760191762,42.3,58.05
"88","af17_10","female","200m",200.400781587323,-0.00041673459690128,0,2017-02-09 10:50:00,313971.3,446664.8,-7.50578089099617,0.0570369735325009,200.484295526256,7.50599760191762,43.0833333333333,58.8333333333333
"89","af17_10","female","200m",200.400781587323,-0.00041673459690128,0,2017-02-09 11:39:00,313971.3,446664.8,-7.50578089099617,0.0570369735325009,200.484295526256,7.50599760191762,43.9,59.65
"90","af17_10","female","200m",200.400781587323,-0.000451673684486398,0,2017-02-09 12:30:00,313971.2,446664.8,-7.60572847310733,0.053799563228466,200.491297346716,7.60591874789884,44.75,60.5
"91","af17_10","female","200m",200.400781587323,-0.000451673684486398,0,2017-02-09 13:03:00,313971.2,446664.8,-7.60572847310733,0.053799563228466,200.491297346716,7.60591874789884,45.3,61.05
"92","af17_10","female","200m",200.400781587323,-0.000451673684486398,0,2017-02-09 13:40:00,313971.2,446664.8,-7.60572847310733,0.053799563228466,200.491297346716,7.60591874789884,45.9166666666667,61.6666666666667
"93","af17_10","female","200m",200.400781587323,-0.00297562170682375,0,2017-02-09 14:22:00,313971.1,446664.3,-7.68948900375272,-0.449175757749599,200.997098503079,7.70259696467262,46.6166666666667,62.3666666666667
"94","af17_10","female","200m",200.400781587323,-0.00692274334964527,0,2017-02-09 15:30:00,313971.2,446663.5,-7.56364213914545,-1.24551900450748,201.78810476532,7.66550715867164,47.75,63.5
"95","af17_10","female","200m",200.400781587323,-0.00692274334964527,0,2017-02-09 16:00:00,313971.2,446663.5,-7.56364213914545,-1.24551900450748,201.78810476532,7.66550715867164,48.25,64
"96","af17_10","female","200m",200.400781587323,-0.00692274334964527,0,2017-02-09 16:35:00,313971.2,446663.5,-7.56364213914545,-1.24551900450748,201.78810476532,7.66550715867164,48.8333333333333,64.5833333333333
"97","af17_10","female","200m",200.400781587323,-0.0064599393937339,0,2017-02-09 17:05:00,313971.1,446663.6,-7.66682713161882,-1.14880883270224,201.695358490834,7.75241897733999,49.3333333333333,65.0833333333333
"98","af17_10","female","200m",200.400781587323,-0.0064599393937339,0,2017-02-09 17:54:00,313971.1,446663.6,-7.66682713161882,-1.14880883270224,201.695358490834,7.75241897733999,50.15,65.9
"99","af17_10","female","200m",200.400781587323,-0.00589243191389377,0,2017-02-09 18:39:00,313971.3,446663.7,-7.47016937764425,-1.04238642992295,201.581629548317,7.542545989252,50.9,66.65
"100","af17_10","female","200m",200.400781587323,-0.00589243191389377,0,2017-02-10 06:30:00,313971.3,446663.7,-7.47016937764425,-1.04238642992295,201.581629548317,7.542545989252,62.75,78.5
"101","af17_10","female","200m",200.400781587323,-0.0090549227571457,0,2017-02-10 07:28:00,313970.8,446663.1,-7.95048282648653,-1.65825897428837,202.215395185068,8.12157620170279,63.7166666666667,79.4666666666667
"102","af17_10","female","200m",200.400781587323,-0.00848615959493615,0,2017-02-10 08:39:00,313971,446663.2,-7.75382507251196,-1.55183657150908,202.101414602823,7.90759128937429,64.9,80.65
"103","af17_10","female","200m",200.400781587323,-0.00898391171146318,0,2017-02-10 10:06:00,313971,446663.1,-7.75058766220604,-1.65178415367842,202.201164516012,7.92464510245623,66.35,82.1
"104","af17_10","female","200m",200.400781587323,-0.00901929447133321,0,2017-02-10 11:14:00,313970.9,446663.1,-7.8505352443172,-1.65502156398245,202.208255248744,8.02309167338336,67.4833333333333,83.2333333333333
"105","af17_10","female","200m",200.400781587323,-0.00894877450334586,0,2017-02-10 12:50:00,313971.1,446663.1,-7.65064008009488,-1.64854674337438,202.194122992042,7.82623792126488,69.0833333333333,84.8333333333333
"106","af17_10","female","200m",200.400781587323,-0.00894877450334586,0,2017-02-10 13:35:00,313971.1,446663.1,-7.65064008009488,-1.64854674337438,202.194122992042,7.82623792126488,69.8333333333333,85.5833333333333
"107","af17_10","female","200m",200.400781587323,-0.00894877450334586,0,2017-02-10 14:45:00,313971.1,446663.1,-7.65064008009488,-1.64854674337438,202.194122992042,7.82623792126488,71,86.75
"108","af17_10","female","200m",200.400781587323,-0.00297562170682375,0,2017-02-10 15:12:00,313971.1,446664.3,-7.68948900375272,-0.449175757749599,200.997098503079,7.70259696467262,71.45,87.2
"109","af17_10","female","200m",200.400781587323,-0.00894877450334586,0,2017-02-10 16:10:00,313971.1,446663.1,-7.65064008009488,-1.64854674337438,202.194122992042,7.82623792126488,72.4166666666667,88.1666666666667
