"","id","dt","x_utm","y_utm"
"265","dt19_30",2019-03-08 08:52:00,313846.485410571,447539.835846261
"266","dt19_30",2019-03-08 14:03:00,313856.045385135,447536.906818715
"267","dt19_32",2019-03-10 09:33:00,313830.038286736,447542.725494723
"268","dt19_32",2019-03-11 10:30:00,313832.090251627,447548.144622753
"269","dt19_32",2019-03-11 12:40:00,313832.091201932,447548.143673281
"270","dt19_32",2019-03-11 14:58:00,313830.849766142,447550.884271829
"271","dt19_33",2019-03-11 15:02:00,313855.243948601,447516.728994031
"272","dt19_33",2019-03-12 13:18:00,313854.461120136,447507.477909005
"273","dt19_34",2019-03-11 16:59:00,313811.927671842,447524.633084949
"274","dt19_34",2019-03-12 13:58:00,313824.09468553,447544.504474602
"275","dt19_35",2019-03-12 14:43:00,313665.729490182,447355.719632507
"276","dt19_36",2019-03-12 16:46:00,313680.476294772,447342.774408351
"277","dt19_36",2019-03-13 09:08:00,313689.770765972,447339.65285691
"278","dt19_36",2019-03-13 14:23:00,313689.940753304,447339.613864639
"279","dt19_37",2019-03-12 16:55:00,313682.330392038,447346.43947261
"280","dt19_37",2019-03-13 09:13:00,313674.460755118,447344.828702163
"281","dt19_37",2019-03-13 14:14:00,313669.258297867,447346.925759634
"282","dt19_38",2019-03-13 15:15:00,313678.327549699,447393.479653987
"283","dt19_38",2019-03-14 09:01:00,313678.071742266,447392.873892886
"284","dt19_38",2019-03-14 15:01:00,313675.795236337,447387.204239391
"285","dt19_39",2019-03-13 11:41:00,313672.104363528,447401.960082148
"286","dt19_39",2019-03-14 10:59:00,313667.550643889,447402.727271449
"287","dt19_39",2019-03-14 15:06:00,313669.380697316,447397.475268854
"288","dt19_4",2019-02-10 12:25:00,313580.367169186,447429.926503851
"289","dt19_4",2019-02-11 10:47:00,313595.599960247,447434.479903814
"290","dt19_4",2019-02-12 09:53:00,313588.623818719,447441.092475389
"291","dt19_4",2019-02-12 13:47:00,313577.884813985,447444.324680272
"292","dt19_40",2019-03-17 08:35:00,313670.876423821,447396.387398511
"293","dt19_40",2019-03-17 16:03:00,313669.256803188,447397.390746653
"294","dt19_40",2019-03-17 18:07:00,313665.910866274,447379.021487413
"295","dt19_40",2019-03-18 09:09:00,313680.838001026,447373.403203238
"296","dt19_40",2019-03-18 16:14:00,313664.749939998,447378.49095878
"297","dt19_41",2019-03-17 09:46:00,313678.749503643,447394.150430997
"298","dt19_41",2019-03-17 16:23:00,313679.293842261,447395.270056536
